,No. of reoccurance among SlotID,uni_domain
1,1,www.subaru.com
2,2,nexus.ensighten.com
3,1,com-subaru.netmng.com
4,28,www.googleadservices.com
5,46,www.google.com
6,44,googleads.g.doubleclick.net
7,28,www.google-analytics.com
8,1,20566285p.rfihub.com
9,1,c.betrad.com
10,1,subaruofamerica.112.2o7.net
11,7,l.betrad.com
12,1,1762894.fls.doubleclick.net
13,1,cdn.strcst.net
14,9,fls.doubleclick.net
15,1,s1.2mdn.net
16,19,ad.doubleclick.net
17,1,subarudev.112.2o7.net
18,3,www.my.commbank.com.au
19,3,static.my.commbank.com.au
20,20,dpm.demdex.net
21,2,cba.d2.sc.omtrdc.net
22,2,cba.demdex.net
23,2,commonwealthbankofau.tt.omtrdc.net
24,1,www1.my.commbank.com.au
25,6,www.youtube.com
26,2,sr1.liveperson.net
27,2,chat.commbank.com.au
28,1,www.skype.com
29,1,www.skypeassets.com
30,1,i.s-microsoft.com
31,1,c1.microsoft.com
32,1,c.bing.com
33,1,c.microsoft.com
34,1,metrics.skype.com
35,1,login.skype.com
36,2,go.skype.com
37,1,secure.skype.com
38,1,secure.skypeassets.com
39,1,apps.skypeassets.com
40,1,smetrics.skype.com
41,10,mpsnare.iesnare.com
42,17,
43,1,skype.tt.omtrdc.net
44,7,survey.122.2o7.net
45,1,api.skype.com
46,1,wwwqa.ford.com
47,5,ford.demdex.net
48,1,wwwqa.clw.ford.com
49,2,core.insightexpressai.com
50,2,ford.tt.omtrdc.net
51,9,www.everestjs.net
52,2,es.ford.com
53,10,admin.brightcove.com
54,2,690327.fls.doubleclick.net
55,2,metrics.ford.com
56,8,apis.google.com
57,29,connect.facebook.net
58,8,accounts.google.com
59,8,oauth.googleusercontent.com
60,8,ssl.gstatic.com
61,5,fast.ford.demdex.net
62,9,ipinvite.iperceptions.com
63,9,adadvisor.net
64,13,su.addthis.com
65,6,loadm.exelator.com
66,6,i.w55c.net
67,6,idsync.rlcdn.com
68,5,rd.rlcdn.com
69,5,rc.rlcdn.com
70,6,e.nexac.com
71,2,res1.ford.com.edgesuite.net
72,2,res2.ford.com.edgesuite.net
73,1,ford.t1.ssstest.com
74,1,smrtpxl.advertising.com
75,1,px.g.interclick.com
76,4,cti.w55c.net
77,5,g.msn.com
78,9,ace-tag.advertising.com
79,4,ev.ads.pointroll.com
80,3,1119742.fls.doubleclick.net
81,4,bannerfarm.ace.advertising.com
82,4,tags.bluekai.com
83,12,leadback.advertising.com
84,6,tags.w55c.net
85,41,www.facebook.com
86,1,wwwqa.bp3.ford.com
87,1,mscrm14.ford.qa.ams.hpmsdynamics.com:8080
88,1,wwwqa.quickquote.ford.com
89,1,wwwqa.fordvehiclesus.ford.com
90,14,static.ak.facebook.com
91,17,s-static.ak.facebook.com
92,2,build.ford.com
93,3,assets.forddirect.fordvehicles.com
94,2,pixel2519.everesttech.net
95,8,pixel.everesttech.net
96,32,cm.g.doubleclick.net
97,21,ads.yahoo.com
98,15,ad.yieldmanager.com
99,8,pixel2368.everesttech.net
100,17,sp.analytics.yahoo.com
101,1,wwwqa.build.ford.com
102,23,analytics.twitter.com
103,1,wwwqa.inventory.ford.com
104,2,www.ford.com
105,1,corporate.ford.com
106,3,group11.iperceptions.com
107,1,scontent-a.cdninstagram.com
108,1,scontent-b.cdninstagram.com
109,1,smetrics.ford.com
110,1,phx.corporate-ir.net
111,1,chart.corporate-ir.net
112,18,ajax.googleapis.com
113,7,www.adobetag.com
114,1,thomsonreuterscorporategroupweb.d2.sc.omtrdc.net
115,7,goku.brightcove.com
116,1,c.brightcove.com
117,7,metrics.brightcove.com
118,7,brightcove.vo.llnwd.net
119,3,www.vodafone.cz
120,21,c.go-mpulse.net
121,20,cdn.tt.omtrdc.net
122,3,vodafonecz.tt.omtrdc.net
123,4,track.adform.net
124,3,monitor.tns-aisa.cz
125,3,delivery.d2.sv.omtrdc.net
126,6,dnn506yrbagrg.cloudfront.net
127,2,c.imedia.cz
128,4,www.vodafone.com.eg
129,4,static.vodafone.com.eg
130,1,shop.vodafone.com.eg
131,1,vodafonedev.pinnaclecart.com
132,2,assets.pinterest.com
133,2,log.pinterest.com
134,18,platform.twitter.com
135,2,widgets.pinterest.com
136,2,passets.pinterest.com
137,10,fbstatic-a.akamaihd.net
138,9,syndication.twitter.com
139,7,cdn.syndication.twitter.com
140,9,fonts.gstatic.com
141,2,csi.gstatic.com
142,21,s7.addthis.com
143,7,ct1.addthis.com
144,16,m.addthis.com
145,18,b.scorecardresearch.com
146,1,www.linkedin.com
147,1,linkedin.com
148,11,a.tribalfusion.com
149,2,cms.analytics.yahoo.com
150,1,www.vodafone.ie
151,19,tags.tiqcdn.com
152,1,vodafoneirl.tt.omtrdc.net
153,1,shop.vodafone.ie
154,1,2673826.fls.doubleclick.net
155,12,pixel.mathtag.com
156,31,pixel.rubiconproject.com
157,2,insight.adsrvr.org
158,1,ad.ie.doubleclick.net
159,1,www.google.ie
160,1,vodafone.ugc.bazaarvoice.com
161,1,vfie.s3.amazonaws.com
162,12,magpie-static.ugc.bazaarvoice.com
163,12,network.bazaarvoice.com
164,1,was.vodafone.ie
165,1,t.mookie1.com
166,3,match.adsrvr.org
167,3,sync.search.spotxchange.com
168,3,cdn.spotxchange.com
169,1,vmss.boldchat.com
170,1,vms.boldchat.com
171,1,images.boldchat.com
172,1,www.vodafone.it
173,1,www.googletagservices.com
174,1,partner.googleadservices.com
175,1,tpc.googlesyndication.com
176,2,dev.visualwebsiteoptimizer.com
177,9,pubads.g.doubleclick.net
178,4,pagead2.googlesyndication.com
179,2,lptag.liveperson.net
180,2,tags.liveperson.net
181,2,server.lon.liveperson.net
182,1,vodafoneitaly.tt.omtrdc.net
183,1,eshop.vodafone.it
184,1,d2178zcmprhlu1.cloudfront.net
185,1,scmetrics.vodafone.it
186,1,4447607.fls.doubleclick.net
187,1,aax-eu.amazon-adsystem.com
188,1,www.vodafone.es
189,1,www.buscador.vodafone.es
190,2,cdn.optimizely.com
191,1,401631559.log.optimizely.com
192,1,www.wtp101.com
193,1,wrap.tradedoubler.com
194,5,ds.serving-sys.com
195,13,bs.serving-sys.com
196,1,creativecdn.com
197,1,www.mainadv.com
198,1,r.adserver01.de
199,1,ak1.abmr.net
200,1,auddr.httptrack.com
201,1,ad.adserver01.de
202,12,image2.pubmatic.com
203,18,us-u.openx.net
204,1,adsearch.adkontekst.pl
205,3,ih.adscale.de
206,3,ad.360yield.com
207,3,delivery.swid.switchads.com
208,1,4483105.fls.doubleclick.net
209,1,ssp-csync.smartadserver.com
210,2,bbcdn-bbnaut.ibillboard.com
211,2,bbnaut.ibillboard.com
212,3,atemda.com
213,1,profile.begun.ru
214,22,ib.adnxs.com
215,1,t.httptrack.com
216,18,secure.adnxs.com
217,2,cotads.adscale.de
218,2,www.google.es
219,25,r.turn.com
220,1,ak1s.abmr.net
221,1,ck.solocpm.com
222,1,36e4f0e7.mpstat.us
223,2,secure-ds.serving-sys.com
224,1,vodafonees.122.2o7.net
225,1,samoobsluha.vodafone.cz
226,5,www.google.co.uk
227,1,www.apple.com
228,1,www.apple.fr
229,1,images.apple.com
230,1,metrics.apple.com
231,1,forum.vodafone.com.eg
232,1,www.vodafone.co.nz
233,11,stats.g.doubleclick.net
234,5,www.googletagmanager.com
235,1,4476113.fls.doubleclick.net
236,1,3992648.fls.doubleclick.net
237,6,s.ytimg.com
238,1,vodafonenz.122.2o7.net
239,1,vodafone-nz.inq.com
240,1,www.google.co.nz
241,1,community.vodafone.co.nz
242,1,vodafonenz.i.lithium.com
243,2,fbcdn-profile-a.akamaihd.net
244,1,graph.facebook.com
245,1,pbs.twimg.com
246,1,survey.omniture.com
247,1,www.warriorsinpink.ford.com
248,1,trustlogo.com
249,1,www.trustlogo.com
250,1,track.brighteroption.com
251,4,w.sharethis.com
252,10,js-agent.newrelic.com
253,4,wd-edge.sharethis.com
254,2,beacon-4.newrelic.com
255,4,l.sharethis.com
256,4,seg.sharethis.com
257,4,edge.sharethis.com
258,1,fpdbs.paypal.com
259,2,bam.nr-data.net
260,3,map.media6degrees.com
261,3,p.nexac.com
262,4,www.bizographics.com
